plik,czas_dyn,czas_aproks,stos_czas_dyn_aproks,czas_bb,koszt_dyn,koszt_aproks,stos_koszt_dyn_aproks,koszt_bb
data/10/10_6.tsp,37223616,254709,146.142,2294251,585,612,1.04615,588
data/10/10_7.tsp,36793287,956097,38.4828,2694148,576,614,1.06597,576
data/10/10_8.tsp,37564300,256076,146.692,2338599,581,604,1.03959,581
data/10/10_9.tsp,35961775,252288,142.543,2546616,571,620,1.08581,574
data/10/10_10.tsp,37498741,115876,323.611,2547342,572,631,1.10315,572
data/10/10_11.tsp,36767204,118665,309.84,2546535,583,600,1.02916,587
data/10/10_12.tsp,36756290,147855,248.597,3407743,619,673,1.08724,626
data/10/10_13.tsp,36733665,255538,143.75,2339537,594,650,1.09428,601
data/10/10_14.tsp,36667839,253398,144.705,2404200,584,613,1.04966,584
data/10/10_15.tsp,37960458,273115,138.991,2375098,555,618,1.11351,567
data/10/10_16.tsp,37496888,111731,335.6,2530516,588,659,1.12075,588
data/10/10_17.tsp,36720443,162781,225.582,3197562,567,646,1.13933,567
data/10/10_18.tsp,36985733,113505,325.851,2514911,582,626,1.0756,582
data/10/10_19.tsp,36301804,266231,136.355,2818374,592,627,1.05912,592
data/10/10_20.tsp,39027784,257354,151.65,2359947,578,638,1.10381,578
data/10/10_21.tsp,40986178,250135,163.856,2248873,578,619,1.07093,578
data/10/10_22.tsp,37040442,109056,339.646,2468673,620,671,1.08226,620
data/10/10_23.tsp,36664362,118337,309.83,2399970,558,646,1.15771,568
data/10/10_24.tsp,37004090,126813,291.8,2888580,557,567,1.01795,560
data/10/10_25.tsp,37802311,262277,144.131,2263373,622,651,1.04662,622
data/10/10_26.tsp,36218799,245449,147.561,2307562,598,640,1.07023,598
data/10/10_27.tsp,37314669,254500,146.62,2309839,607,607,1,607
data/10/10_28.tsp,35822000,247046,145.001,2274391,563,641,1.13854,563
data/10/10_29.tsp,35359724,111335,317.598,2698932,591,634,1.07276,591
data/11/11_0.tsp,93790149,140384,668.097,3987219,595,667,1.12101,595
data/11/11_1.tsp,93216252,526020,177.21,3560739,645,724,1.12248,645
data/11/11_2.tsp,95056544,159794,594.869,4425617,635,720,1.13386,638
data/11/11_3.tsp,118996554,627578,189.612,3624781,607,701,1.15486,607
data/11/11_4.tsp,105409687,645726,163.242,3595367,622,696,1.11897,626
data/11/11_5.tsp,97049559,151804,639.308,4394463,603,630,1.04478,609
data/11/11_6.tsp,96800942,523420,184.939,3617746,642,736,1.14642,647
data/11/11_7.tsp,97210161,177472,547.749,4335890,626,714,1.14058,626
data/11/11_8.tsp,97184804,586383,165.736,3840368,627,706,1.126,627
data/11/11_9.tsp,97691293,155940,626.467,6049144,676,751,1.11095,690
data/11/11_10.tsp,100815857,573549,175.775,4014530,637,677,1.06279,643
data/11/11_11.tsp,109532014,645381,169.717,4570336,625,689,1.1024,627
data/11/11_12.tsp,110406346,154517,714.526,4193725,623,720,1.1557,640
data/11/11_13.tsp,105457589,1373626,76.7731,4193095,668,768,1.1497,668
data/11/11_14.tsp,103170688,158616,650.443,4360867,615,685,1.11382,620
data/11/11_15.tsp,105541801,831148,126.983,3615003,603,689,1.14262,607
data/11/11_16.tsp,113209670,153889,735.658,6222330,611,694,1.13584,611
data/11/11_17.tsp,107923669,173266,622.879,4574777,641,684,1.06708,651
data/11/11_18.tsp,103344848,773146,133.668,3971906,669,691,1.03288,669
data/11/11_19.tsp,104688307,252720,414.246,4954913,626,719,1.14856,634
data/11/11_20.tsp,104932877,612948,171.194,4041064,660,724,1.09697,664
data/11/11_21.tsp,114354287,155530,735.255,5155847,644,703,1.09161,645
data/11/11_22.tsp,119516834,874084,136.734,5040153,681,777,1.14097,684
data/11/11_23.tsp,106983786,585434,182.743,3575342,635,689,1.08504,635
data/11/11_24.tsp,96617407,213186,453.207,5740181,670,718,1.07164,675
data/11/11_25.tsp,96688636,564866,171.171,3639544,626,649,1.03674,626
data/11/11_26.tsp,100357633,148127,677.511,4213810,711,785,1.10408,718
data/11/11_27.tsp,94897572,491227,193.185,4133645,635,689,1.08504,644
data/11/11_28.tsp,95808909,160216,597.998,4051749,636,756,1.18868,637
data/11/11_29.tsp,96101556,159241,603.498,5786451,638,700,1.09718,660
data/12/12_0.tsp,247147941,2521120,98.031,5272755,659,706,1.07132,659
data/12/12_1.tsp,247191129,2312948,106.873,5158551,715,790,1.1049,720
data/12/12_2.tsp,242378296,2237513,108.325,5751612,674,754,1.11869,699
data/12/12_3.tsp,243888081,219586,1110.67,7870773,668,758,1.13473,670
data/12/12_4.tsp,252430986,213860,1180.36,7550543,706,757,1.07224,706
data/12/12_5.tsp,254605028,191733,1327.91,7404135,724,824,1.13812,729
data/12/12_6.tsp,243217866,2375176,102.4,5218884,676,811,1.1997,680
data/12/12_7.tsp,239479813,2238229,106.995,5379701,722,842,1.1662,725
data/12/12_8.tsp,245874021,2333833,105.352,5984868,711,801,1.12658,716
data/12/12_9.tsp,250115611,189177,1322.12,7293474,690,765,1.1087,695
data/12/12_10.tsp,338219215,308857,1095.07,15617061,684,770,1.12573,684
data/12/12_11.tsp,454574037,299717,1516.68,12100963,677,761,1.12408,677
data/12/12_12.tsp,470886583,5640268,83.4866,7704456,713,748,1.04909,716
data/12/12_13.tsp,320120280,4083095,78.4014,8234563,675,837,1.24,677
data/12/12_14.tsp,580230852,5063472,114.592,22684688,654,716,1.0948,654
data/12/12_15.tsp,565302517,299955,1884.62,12461512,670,724,1.0806,670
data/12/12_16.tsp,363416886,324889,1118.59,11975487,684,755,1.1038,684
data/12/12_17.tsp,306079877,281748,1086.36,8488858,679,729,1.07364,679
data/12/12_18.tsp,277165681,2718957,101.938,5652977,694,804,1.1585,694
data/12/12_19.tsp,285127948,3916115,72.8089,9958916,735,795,1.08163,735
data/12/12_20.tsp,368202684,3701078,99.4853,8150725,675,769,1.13926,680
data/12/12_21.tsp,458216681,364891,1255.76,13135309,671,770,1.14754,673
data/12/12_22.tsp,387346014,288863,1340.93,10986691,701,794,1.13267,701
data/12/12_23.tsp,276363326,299078,924.051,11294622,691,712,1.03039,692
data/12/12_24.tsp,320019539,2327998,137.466,5388710,687,821,1.19505,691
data/12/12_25.tsp,333336147,3120696,106.815,5679421,656,704,1.07317,657
data/12/12_26.tsp,289730291,3170964,91.3698,5612368,685,752,1.09781,685
data/12/12_27.tsp,278224561,192776,1443.25,9255163,663,694,1.04676,663
data/12/12_28.tsp,252245071,183290,1376.21,7295598,687,761,1.10771,694
data/12/12_29.tsp,243787784,180218,1352.74,7233526,711,745,1.04782,720
